concept_id,theme,label,alt_labels_count,alt_labels,description
individual_characteristics__abilties,,,0,,
individual_characteristics__age,,,5,age diversity | age equality | age discrimination | age-inclusive | ageism,
individual_characteristics__career_stage,,,0,,
individual_characteristics__caring_responsiblities,,,0,,
individual_characteristics__disability,,,6,disability inclusion | disabled staff | disability equality | reasonable adjustments | workplace adjustments | access needs,
individual_characteristics__job_roles,,,0,,
individual_characteristics__nationality,,,0,,
individual_characteristics__neurodiversity,,,5,neurodivergent | neurodiverse staff | ADHD support | autism support | neuroinclusion,
individual_characteristics__pregnancy_and_maternity,,,5,Pregnancy and Maternity | pregnancy | maternity | return to work after maternity | pregnancy discrimination,
individual_characteristics__race,,,0,,
individual_characteristics__religion_or_belief,,,1,Religion or Belief,
individual_characteristics__sex,,,0,,
individual_characteristics__sexual_orientation,,,3,LGBTQ+ | LGBTQIA+ | sexuality inclusion,
individual_characteristics__socio_economic_background,,,5,socioeconomic background | social mobility | working-class background | widening participation | first-generation,
individual_characteristics__temporary_impairment,,,0,,
individual_characteristics__trans_identity,,,5,trans | transgender | gender identity | gender transition support | trans inclusion,
career_pathway__barrier_removal,,,0,,
career_pathway__career_pathway,,,0,,
career_pathway__career_progression,,,5,promotion | progression pathways | progression criteria | fair promotion | promotion equity,
career_pathway__career_retention,,,4,retention | staff retention | retaining talent | attrition reduction,
career_pathway__development_opportunities,,,0,,
career_pathway__diverse_leadership,,,0,,
career_pathway__equitable_opportunities,,,0,,
career_pathway__leadership_development,,,4,inclusive leadership development | leadership pipeline | developing leaders | leadership training,
career_pathway__mentorship_sponsorship,,,4,mentoring | sponsorship | career mentoring | mentorship programme,
career_pathway__network_development,,,0,,
career_pathway__networking_collaboration,,,0,,
career_pathway__pipeline_development,,,0,,
career_pathway__professional_development,,,0,,
career_pathway__recruitment_strategies,,,6,inclusive recruitment | inclusive hiring | equitable recruitment | fair recruitment | diverse recruitment | bias-free recruitment,
career_pathway__retention_strategies,,,0,,
career_pathway__visibility_recognition,,,0,,
research_funding_process__addressing_structural_inequality,,,0,,
research_funding_process__advertising_approach,,,0,,
research_funding_process__application_processes,,,0,,
research_funding_process__application_support,,,4,grant writing support | application guidance | proposal support | funding application support,
research_funding_process__bias_mitigation,,,0,,
research_funding_process__eligiblity_criteria,,,4,eligibility criteria | eligibility requirements | eligibility rules | inclusive eligibility,
research_funding_process__panel_diversity,,,4,diverse panels | review panel diversity | committee diversity | panel composition,
research_funding_process__peer_review,,,5,peer-review | review process | reviewer bias | fair peer review | equitable peer review,
research_funding_process__research_funding_process,,,0,,
research_funding_process__resource_allocation,,,0,,
research_funding_process__securing_funding,,,0,,
research_funding_process__targeted_grants,,,0,,
research_funding_process__transparency_and_accessiblity_of_process,,,5,Transparency and Accessiblity of Process | transparent funding process | accessibility of funding process | accessible funding process | process transparency,
organisational_culture__accessible_inclusive_workspaces,,,0,,
organisational_culture__adaptive_research_enviroments,,,1,Adaptive research enviroments,
organisational_culture__allyship,,,0,,
organisational_culture__allyship_advocacy,,,0,,
organisational_culture__anti_discrimination_measures,,,1,Anti-discrimination measures,
organisational_culture__awareness_training,,,5,EDI training | DEI training | equality diversity inclusion training | bias training | inclusion training,
organisational_culture__barrier_removal,,,0,,
organisational_culture__belonging_initiatives,,,0,,
organisational_culture__bias,,,3,implicit bias | unconscious bias | bias awareness,
organisational_culture__bullying_and_microagression_prevention,,,6,Bullying and Microagression Prevention | microaggressions | microaggression prevention | anti-bullying | bullying prevention | civility at work,
organisational_culture__cultural_competency,,,0,,
organisational_culture__data_collection_monitoring,,,0,,
organisational_culture__disseminating_good_practice,,,1,Disseminating good practice,
organisational_culture__diverse_representation,,,0,,
organisational_culture__employee_resource_groups,,,4,ERGs | staff networks | employee networks | affinity groups,
organisational_culture__harassment,,,4,sexual harassment | workplace harassment | harassment prevention | anti-harassment,
organisational_culture__inclusive_language,,,5,Inclusive language | inclusive communications | inclusive wording | inclusive terminology | gender-inclusive language,
organisational_culture__inclusive_leadership,,,3,inclusive management | inclusive leaders | inclusive leadership behaviours,
organisational_culture__inclusive_workplaces,,,0,,
organisational_culture__management_structures,,,1,Management structures,
organisational_culture__monitoring_and_evaluation,,,1,Monitoring and evaluation,
organisational_culture__organisational_culture,,,0,,
organisational_culture__policy_review_reform,,,0,,
organisational_culture__research_design,,,0,,
organisational_culture__systemic_change,,,1,Systemic change,
organisational_culture__work_life_balance,,,4,flexible working | flexible work | hybrid working | family friendly policies,
