ID,Title,Link,Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture
1,"Hosting Accessible Online Events, Meetings and Webinars",https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,Neurodiversity,Career Pathway,,Accessible & Inclusive Workspaces
5,"All Welcome Guide to Inclusive, Accessible and Sustainable Events",https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,Not Specified,,,"Accessible & Inclusive Workspaces, Diverse Representation"
7,"We Are the Ones That We Seek: Equality, Diversity and Inclusion In CREDS",https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,Not Specified,"Recruitment Strategies, Career Progression", Resource Allocation,"Harassment, Bullying and Microagression Prevention, Accessible & Inclusive Workspaces, Diverse Representation, Inclusive Language"
8,Diverse Panel Pledge,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,"Sex, Race, Age, Nationality, Abilties, Socio-Economic Background",,Panel Diversity ,Diverse Representation
9,Inclusive Language: Words To Use and Avoid When Writing About Disability,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,Disability,,,Inclusive Language
11,"The Equality Act 2010: Positive Action Through Bursaries, Scholarships and Prizes",https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,"Age, Disability, Trans Identity, Pregnancy and Maternity, Race, Religion or Belief, Sex, Sexual Orientation",,"Addressing Structural Inequality, Transparency and Accessiblity of Process",
13,The Broken Pipeline Report: Barriers to Black PhD Students Accessing Research Council Funding,https://www.leadingroutes.org/the-broken-pipeline-report/,Race,"Retention Strategies, Professional Development, Diverse Leadership, Recruitment Strategies", Application Support,
15,LMS Advice on Diversity of Speakers at Conferences and Seminars,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,Not Specified,,,"Harassment, Bullying and Microagression Prevention, Diverse Representation"
17,Reports And Policy Submissions,https://www.lms.ac.uk/policy/reports-and-policy-submissions ,Not Specified, Pipeline Development,,Policy Review & Reform
18,"Diversity Statements, Policy, Advice",https://www.lms.ac.uk/women/diversity-statements-policy-advice ,Not Specified,,,"Policy Review & Reform, Accessible & Inclusive Workspaces"
19,Inclusivity In Materials Science,https://www.nature.com/collections/jdgjdceijd,Not Specified,Career Pathway,Research Funding Process,Organisational Culture
20,Northern Power Inclusion Matters Project,https://northernpowerinclusion.org/,Not Specified,"Leadership Development, Career Progression, Mentorship & Sponsorship",,
21,Phy Soc Podcast Episode - Prof. Kate Sang,https://www.st-andrews.ac.uk/~physoc1/insight/episode.php?s=academics&ep=41,Disability,,,Accessible & Inclusive Workspaces
22,LGBT+ Toolkit ,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/resources/lgbt-toolkit/,"Sexual Orientation, Trans Identity",,,"Inclusive language, Allyship, Cultural Competency, Diverse Representation "
