Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture
Abilties,Barrier Removal,Addressing Structural Inequality,Accessible & Inclusive Workspaces
Age | age discrimination at work; age-inclusive workplace; age equality; age diversity; ageism; older workers inclusion,Career Pathway,Advertising Approach,Adaptive Research Enviroments | Adaptive research enviroments
Career Stage,Career Progression | promotion equity; fair promotion processes; equitable promotion criteria; transparent promotion criteria; career progression in universities,Application Processes,Allyship
Caring Responsiblities,Career Retention | staff retention; academic staff retention; retaining diverse talent; attrition reduction; retention strategy,Application Support | grant writing guidance; grant application guidance; proposal writing support; funding application guidance,Allyship & Advocacy
Disability | reasonable adjustments; reasonable adjustments at work; workplace adjustments; adjustments for disabled staff; access needs; accessibility needs,Development Opportunities,Bias Mitigation | bias reduction strategies; bias mitigation in funding; grant application bias reduction,Anti-discrimination Measures | Anti-discrimination measures
Job Roles,Diverse Leadership,Eligiblity Criteria,Awareness Training
Nationality,Equitable Opportunities,Panel Diversity | review panel diversity; committee diversity; diverse funding panels; panel composition,Barrier Removal
Neurodiversity | neurodivergent; support for autistic staff; support for ADHD staff; neurodiversity workplace adjustments; neuroinclusion at work,Leadership Development | inclusive leadership development; leadership pipeline development; leadership development programme; inclusive leadership training,Peer Review | peer review bias; reviewer bias; equitable peer review; fair peer review; inclusive peer review training,Belonging Initiatives
Pregnancy And Maternity | Pregnancy and Maternity; return to work after maternity; return-to-work support after maternity; pregnancy discrimination; pregnancy discrimination at work; maternity leave policy; parental leave policy,Mentorship & Sponsorship | mentorship programmes; mentoring programmes; career mentoring; career sponsorship schemes; sponsorship programmes,Research Funding Process,Bias | implicit bias; unconscious bias; bias awareness
Race | race and ethnicity; ethnic minority inclusion; racial equality,Network Development,Resource Allocation,Bullying And Microagression Prevention | Bullying and Microagression Prevention; microaggressions; microaggressions at work; bullying prevention; anti-bullying policy; civility at work
Religion Or Belief | Religion or Belief; religion and belief; religious accommodation at work; faith accommodation in workplace,Networking & Collaboration,Securing Funding,Cultural Competency
Sex,Pipeline Development,Targeted Grants,Data Collection & Monitoring | data monitoring diversity metrics; workforce diversity metrics; EDI metrics monitoring
Sexual Orientation | LGBTQ+; LGBTQIA+; LGBTQ+ inclusion; sexual orientation inclusion; queer inclusion at work,Professional Development,Transparency And Accessiblity Of Process | Transparency and Accessiblity of Process; transparent funding allocation processes; transparency of funding process; transparent funding process; accessible funding process,Disseminating Good Practice | Disseminating good practice
Socio-Economic Background | socioeconomic background; socio-economic disadvantage; widening participation; first generation academics; social mobility; working-class background,Recruitment Strategies | inclusive recruitment; inclusive hiring practices; bias-free hiring process; fair recruitment process; diverse recruitment,,Diverse Representation
Temporary Impairment | temporary impairment adjustments; short-term condition workplace adjustments,Retention Strategies,,Employee Resource Groups
Trans Identity | gender identity; gender transition support; support during gender transition; trans inclusion at work; gender reassignment support; transgender inclusion,Visibility & Recognition,,Harassment
,,,Inclusive Language | Inclusive language; inclusive language policy; inclusive communications guidance; inclusive wording; inclusive terminology; gender-inclusive language
,,,Inclusive Leadership | inclusive management; inclusive leadership behaviours; inclusive management training
,,,Inclusive Workplaces
,,,Management Structures | Management structures
,,,Monitoring And Evaluation | Monitoring and evaluation
,,,Organisational Culture
,,,Policy Review & Reform | inclusive policy reform; institutional change; strategy and policy review
,,,Research Design
,,,Systemic Change | Systemic change
,,,Work-Life Balance | work life balance academic staff support; flexible working policy; hybrid working policy; family friendly policies
