resource_id,column,stage,original,cleaned,reason
5,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
5,Organisational Culture,split,"Accessible & Inclusive Workspaces, Diverse Representation",Accessible & Inclusive Workspaces | Diverse Representation,Split comma-separated multi-select cell into individual tag tokens.
7,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
7,Career Pathway,split,"Recruitment Strategies, Career Progression",Recruitment Strategies | Career Progression,Split comma-separated multi-select cell into individual tag tokens.
7,Organisational Culture,split,"Harassment, Bullying and Microagression Prevention, Accessible & Inclusive Workspaces, Diverse Representation, Inclusive Language",Harassment | Bullying and Microagression Prevention | Accessible & Inclusive Workspaces | Diverse Representation | Inclusive Language,Split comma-separated multi-select cell into individual tag tokens.
7,Organisational Culture,canonicalise,Bullying and Microagression Prevention,Bullying And Microagression Prevention,Standardised casing to Title Case while preserving acronyms/symbol tokens.
8,Individual Characteristics,split,"Sex, Race, Age, Nationality, Abilties, Socio-Economic Background",Sex | Race | Age | Nationality | Abilties | Socio-Economic Background,Split comma-separated multi-select cell into individual tag tokens.
11,Individual Characteristics,split,"Age, Disability, Trans Identity, Pregnancy and Maternity, Race, Religion or Belief, Sex, Sexual Orientation",Age | Disability | Trans Identity | Pregnancy and Maternity | Race | Religion or Belief | Sex | Sexual Orientation,Split comma-separated multi-select cell into individual tag tokens.
11,Individual Characteristics,canonicalise,Pregnancy and Maternity,Pregnancy And Maternity,Standardised casing to Title Case while preserving acronyms/symbol tokens.
11,Individual Characteristics,canonicalise,Religion or Belief,Religion Or Belief,Standardised casing to Title Case while preserving acronyms/symbol tokens.
11,Research Funding Process,split,"Addressing Structural Inequality, Transparency and Accessiblity of Process",Addressing Structural Inequality | Transparency and Accessiblity of Process,Split comma-separated multi-select cell into individual tag tokens.
11,Research Funding Process,canonicalise,Transparency and Accessiblity of Process,Transparency And Accessiblity Of Process,Standardised casing to Title Case while preserving acronyms/symbol tokens.
13,Career Pathway,split,"Retention Strategies, Professional Development, Diverse Leadership, Recruitment Strategies",Retention Strategies | Professional Development | Diverse Leadership | Recruitment Strategies,Split comma-separated multi-select cell into individual tag tokens.
15,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
15,Organisational Culture,split,"Harassment, Bullying and Microagression Prevention, Diverse Representation",Harassment | Bullying and Microagression Prevention | Diverse Representation,Split comma-separated multi-select cell into individual tag tokens.
15,Organisational Culture,canonicalise,Bullying and Microagression Prevention,Bullying And Microagression Prevention,Standardised casing to Title Case while preserving acronyms/symbol tokens.
17,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
18,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
18,Organisational Culture,split,"Policy Review & Reform, Accessible & Inclusive Workspaces",Policy Review & Reform | Accessible & Inclusive Workspaces,Split comma-separated multi-select cell into individual tag tokens.
19,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
20,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
20,Career Pathway,split,"Leadership Development, Career Progression, Mentorship & Sponsorship",Leadership Development | Career Progression | Mentorship & Sponsorship,Split comma-separated multi-select cell into individual tag tokens.
22,Individual Characteristics,split,"Sexual Orientation, Trans Identity",Sexual Orientation | Trans Identity,Split comma-separated multi-select cell into individual tag tokens.
22,Organisational Culture,split,"Inclusive language, Allyship, Cultural Competency, Diverse Representation ",Inclusive language | Allyship | Cultural Competency | Diverse Representation,Split comma-separated multi-select cell into individual tag tokens.
22,Organisational Culture,canonicalise,Inclusive language,Inclusive Language,Standardised casing to Title Case while preserving acronyms/symbol tokens.
23,Individual Characteristics,split,"Sexual Orientation, Trans Identity",Sexual Orientation | Trans Identity,Split comma-separated multi-select cell into individual tag tokens.
23,Organisational Culture,split,"Policy Review & Reform,  Cultural Competency, Belonging Initiatives,",Policy Review & Reform | Cultural Competency | Belonging Initiatives,Split comma-separated multi-select cell into individual tag tokens.
24,Individual Characteristics,split,"Trans Identity, Sexual Orientation",Trans Identity | Sexual Orientation,Split comma-separated multi-select cell into individual tag tokens.
27,Individual Characteristics,split,"Disability, Neurodiversity",Disability | Neurodiversity,Split comma-separated multi-select cell into individual tag tokens.
27,Organisational Culture,split,"Awareness Training, Accessible & Inclusive Workspaces, ",Awareness Training | Accessible & Inclusive Workspaces,Split comma-separated multi-select cell into individual tag tokens.
29,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
29,Career Pathway,split,"Recruitment Strategies, Diverse Leadership",Recruitment Strategies | Diverse Leadership,Split comma-separated multi-select cell into individual tag tokens.
33,Individual Characteristics,split,"Disability, Neurodiversity, Temporary Impairment, ",Disability | Neurodiversity | Temporary Impairment,Split comma-separated multi-select cell into individual tag tokens.
35,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
35,Career Pathway,split,"Recruitment Strategies, Pipeline Development, Professional Development",Recruitment Strategies | Pipeline Development | Professional Development,Split comma-separated multi-select cell into individual tag tokens.
35,Organisational Culture,split,"Management structures, Monitoring and evaluation",Management structures | Monitoring and evaluation,Split comma-separated multi-select cell into individual tag tokens.
35,Organisational Culture,canonicalise,Management structures,Management Structures,Standardised casing to Title Case while preserving acronyms/symbol tokens.
35,Organisational Culture,canonicalise,Monitoring and evaluation,Monitoring And Evaluation,Standardised casing to Title Case while preserving acronyms/symbol tokens.
36,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
36,Organisational Culture,split,"Belonging Initiatives, Diverse Representation, Cultural Competency",Belonging Initiatives | Diverse Representation | Cultural Competency,Split comma-separated multi-select cell into individual tag tokens.
38,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
39,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
39,Career Pathway,split,"Recruitment Strategies, Barrier Removal ",Recruitment Strategies | Barrier Removal,Split comma-separated multi-select cell into individual tag tokens.
40,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
40,Organisational Culture,split,"Accessible & Inclusive Workspaces, Diverse Representation,  Harassment, Bullying and Microagression Prevention",Accessible & Inclusive Workspaces | Diverse Representation | Harassment | Bullying and Microagression Prevention,Split comma-separated multi-select cell into individual tag tokens.
40,Organisational Culture,canonicalise,Bullying and Microagression Prevention,Bullying And Microagression Prevention,Standardised casing to Title Case while preserving acronyms/symbol tokens.
41,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
42,Individual Characteristics,placeholder_remove,Not Specified,,"Removed placeholder tag (e.g., Not Specified / NA / empty)."
42,Organisational Culture,split,"Belonging Initiatives, Diverse Representation, Cultural Competency",Belonging Initiatives | Diverse Representation | Cultural Competency,Split comma-separated multi-select cell into individual tag tokens.
44,Individual Characteristics,split,"Race, Sex",Race | Sex,Split comma-separated multi-select cell into individual tag tokens.
44,Career Pathway,split,"Professional Development, Career Progression, Career Retention, Visibility & Recognition, Diverse Leadership",Professional Development | Career Progression | Career Retention | Visibility & Recognition | Diverse Leadership,Split comma-separated multi-select cell into individual tag tokens.
44,Organisational Culture,split,"Belonging Initiatives, Cultural Competency, Systemic Change",Belonging Initiatives | Cultural Competency | Systemic Change,Split comma-separated multi-select cell into individual tag tokens.
